Taxon_Clements,Taxon_BirdTree
Coturnix coturnix,Coturnix coturnix
Chrysolophus pictus,Chrysolophus pictus
Chrysolophus amherstiae,Chrysolophus amherstiae
Rallus aquaticus,Rallus aquaticus
Porzana porzana,Porzana porzana
Zapornia parva,Porzana parva
Zapornia pusilla,Porzana pusilla
Crex crex,Crex crex
Fulica atra,Fulica atra
Grus grus,Grus grus
Anthropoides virgo,Grus virgo
Tetrax tetrax,Tetrax tetrax
Otis tarda,Otis tarda
Haematopus ostralegus,Haematopus ostralegus
Burhinus oedicnemus,Burhinus oedicnemus
Cursorius cursor,Cursorius cursor
Glareola pratincola,Glareola pratincola
Charadrius hiaticula,Charadrius hiaticula
Charadrius pecuarius,Charadrius pecuarius
Charadrius alexandrinus,Charadrius alexandrinus
Charadrius leschenaultii,Charadrius leschenaultii
Charadrius asiaticus,Charadrius asiaticus
Charadrius morinellus,Eudromias morinellus
Pluvialis apricaria,Pluvialis apricaria
Vanellus leucurus,Vanellus leucurus
Calidris alba,Calidris alba
Calidris temminckii,Calidris temminckii
Calidris pugnax,Philomachus pugnax
Scolopax rusticola,Scolopax rusticola
Limosa limosa,Limosa limosa
Numenius phaeopus,Numenius phaeopus
Numenius arquata,Numenius arquata
Tringa stagnatilis,Tringa stagnatilis
Tringa nebularia,Tringa nebularia
Actitis hypoleucos,Actitis hypoleucos
Phalaropus fulicarius,Phalaropus fulicarius
Ichthyaetus melanocephalus,Larus melanocephalus
Hydrocoloeus minutus,Larus minutus
Chroicocephalus ridibundus,Larus ridibundus
Larus fuscus,Larus fuscus
Cettia cetti,Cettia cetti
Cisticola juncidis,Cisticola juncidis
Calandrella brachydactyla,Calandrella brachydactyla
Prinia gracilis,Prinia gracilis
Cecropis daurica,Hirundo daurica
Delichon urbicum,Delichon urbicum
Anthus pratensis,Anthus pratensis
Sternula albifrons,Sterna albifrons
Motacilla citreola,Motacilla citreola
Motacilla cinerea,Motacilla cinerea
Curruca melanocephala,Sylvia melanocephala
Chlidonias leucopterus,Chlidonias leucopterus
Cinclus cinclus,Cinclus cinclus
Erithacus rubecula,Erithacus rubecula
Pterocles orientalis,Pterocles orientalis
Luscinia megarhynchos,Luscinia megarhynchos
Luscinia svecica,Luscinia svecica
Tarsiger cyanurus,Tarsiger cyanurus
Columba oenas,Columba oenas
Phylloscopus trochilus,Phylloscopus trochilus
Columba palumbus,Columba palumbus
Phoenicurus ochruros,Phoenicurus ochruros
Phoenicurus phoenicurus,Phoenicurus phoenicurus
Streptopelia turtur,Streptopelia turtur
Clamator glandarius,Clamator glandarius
Saxicola rubetra,Saxicola rubetra
Cuculus canorus,Cuculus canorus
Oenanthe isabellina,Oenanthe isabellina
Calcarius lapponicus,Calcarius lapponicus
Oenanthe leucura,Oenanthe leucura
Emberiza cirlus,Emberiza cirlus
Emberiza hortulana,Emberiza hortulana
Strix uralensis,Strix uralensis
Emberiza schoeniclus,Emberiza schoeniclus
Caprimulgus europaeus,Caprimulgus europaeus
Emberiza calandra,Miliaria calandra
Turdus philomelos,Turdus philomelos
Alcedo atthis,Alcedo atthis
Garrulus glandarius,Garrulus glandarius
Ceryle rudis,Ceryle rudis
Perisoreus infaustus,Perisoreus infaustus
Merops apiaster,Merops apiaster
Cyanopica cyanus,Cyanopica cyanus
Coracias garrulus,Coracias garrulus
Pica pica,Pica pica
Panurus biarmicus,Panurus biarmicus
Nucifraga caryocatactes,Nucifraga caryocatactes
Ficedula hypoleuca,Ficedula hypoleuca
Pyrrhocorax graculus,Pyrrhocorax graculus
Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax
Argya squamiceps,Turdoides squamiceps
Aegithalos caudatus,Aegithalos caudatus
Poecile palustris,Parus palustris
Corvus corone,Corvus corone
Picus viridis,Picus viridis
Poecile montanus,Parus montanus
Lophophanes cristatus,Parus cristatus
Cyanistes caeruleus,Parus caeruleus
Sturnus unicolor,Sturnus unicolor
Parus major,Parus major
Tichodroma muraria,Tichodroma muraria
Ploceus manyar,Ploceus manyar
Cinnyris osea,Nectarinia osea
Fringilla coelebs,Fringilla coelebs
Fringilla teydea,Fringilla teydea
Chloris chloris,Carduelis chloris
Spinus spinus,Carduelis spinus
Linaria cannabina,Carduelis cannabina
Carpodacus erythrinus,Carpodacus erythrinus
Carpodacus synoicus,Carpodacus synoicus
Carpodacus rubicilla,Carpodacus rubicilla
Pyrrhula pyrrhula,Pyrrhula pyrrhula
Pygoscelis adeliae,Pygoscelis adeliae
Pygoscelis antarcticus,Pygoscelis antarcticus
Eudyptes pachyrhynchus,Eudyptes pachyrhynchus
Megadyptes antipodes,Megadyptes antipodes
Eudyptula minor,Eudyptula minor
Diomedea epomophora,Diomedea epomophora
Daption capense,Daption capense
Pterodroma macroptera,Pterodroma macroptera
Procellaria westlandica,Procellaria westlandica
Procellaria parkinsoni,Procellaria parkinsoni
Pachyptila turtur,Pachyptila turtur
Ardenna grisea,Puffinus griseus
Ardenna tenuirostris,Puffinus tenuirostris
Puffinus huttoni,Puffinus huttoni
Pelagodroma marina,Pelagodroma marina
Pelecanoides urinatrix,Pelecanoides urinatrix
Morus serrator,Morus serrator
Phalacrocorax varius,Phalacrocorax varius
Phalacrocorax punctatus,Phalacrocorax punctatus
Leucocarbo georgianus,Phalacrocorax atriceps
Leucocarbo chalconotus,Phalacrocorax chalconotus
Nycticorax caledonicus,Nycticorax caledonicus
Dendrocygna arcuata,Dendrocygna arcuata
Oxyura australis,Oxyura australis
Cygnus atratus,Cygnus atratus
Cereopsis novaehollandiae,Cereopsis novaehollandiae
Tadorna variegata,Tadorna variegata
Tadorna tadornoides,Tadorna tadornoides
Nettapus coromandelianus,Nettapus coromandelianus
Hymenolaimus malacorhynchos,Hymenolaimus malacorhynchos
Anas gracilis,Anas gracilis
Anas castanea,Anas castanea
Anas superciliosa,Anas superciliosa
Spatula rhynchotis,Anas rhynchotis
Elanus scriptus,Elanus scriptus
Haliaeetus leucogaster,Haliaeetus leucogaster
Circus assimilis,Circus assimilis
Circus approximans,Circus approximans
Accipiter fasciatus,Accipiter fasciatus
Aquila audax,Aquila audax
Falco berigora,Falco berigora
Falco cenchroides,Falco cenchroides
Falco novaeseelandiae,Falco novaeseelandiae
Alectura lathami,Alectura lathami
Coturnix pectoralis,Coturnix pectoralis
Synoicus chinensis,Coturnix chinensis
Turnix melanogaster,Turnix melanogaster
Turnix velox,Turnix velox
Antigone rubicunda,Grus rubicunda
Gallirallus philippensis,Gallirallus philippensis
Gallirallus australis,Gallirallus australis
Gallirallus sylvestris,Gallirallus sylvestris
Porphyrio melanotus,Porphyrio porphyrio
Gallinula tenebrosa,Gallinula tenebrosa
Tribonyx mortierii,Gallinula mortierii
Ardeotis australis,Ardeotis australis
Pedionomus torquatus,Pedionomus torquatus
Chionis minor,Chionis minor
Haematopus longirostris,Haematopus longirostris
Haematopus finschi,Haematopus finschi
Haematopus chathamensis,Haematopus chathamensis
Haematopus unicolor,Haematopus unicolor
Himantopus novaezelandiae,Himantopus novaezelandiae
Charadrius obscurus,Charadrius obscurus
Charadrius bicinctus,Charadrius bicinctus
Thinornis novaeseelandiae,Thinornis novaeseelandiae
Anarhynchus frontalis,Anarhynchus frontalis
Vanellus miles,Vanellus miles
Coenocorypha aucklandica,Coenocorypha aucklandica
Calidris ferruginea,Calidris ferruginea
Stercorarius maccormicki,Catharacta maccormicki
Larus pacificus,Larus pacificus
Larus dominicanus,Larus dominicanus
Chroicocephalus novaehollandiae,Larus novaehollandiae
Chroicocephalus bulleri,Larus bulleri
Sterna striata,Sterna striata
Chlidonias albostriatus,Sterna albostriata
Streptopelia senegalensis,Stigmatopelia senegalensis
Geophaps scripta,Geophaps scripta
Geopelia cuneata,Geopelia cuneata
Calyptorhynchus banksii,Calyptorhynchus banksii
Calyptorhynchus lathami,Calyptorhynchus lathami
Zanda funerea,Calyptorhynchus funereus
Zanda latirostris,Calyptorhynchus latirostris
Zanda baudinii,Calyptorhynchus baudinii
Callocephalon fimbriatum,Callocephalon fimbriatum
Eolophus roseicapilla,Cacatua roseicapilla
Cacatua pastinator,Cacatua pastinator
Lophochroa leadbeateri,Cacatua leadbeateri
Trichoglossus haematodus,Trichoglossus haematodus
Trichoglossus chlorolepidotus,Trichoglossus chlorolepidotus
Psitteuteles versicolor,Psitteuteles versicolor
Glossopsitta concinna,Glossopsitta concinna
Parvipsitta pusilla,Glossopsitta pusilla
Parvipsitta porphyrocephala,Glossopsitta porphyrocephala
Eclectus roratus,Eclectus roratus
Alisterus scapularis,Alisterus scapularis
Aprosmictus erythropterus,Aprosmictus erythropterus
Polytelis swainsonii,Polytelis swainsonii
Polytelis anthopeplus,Polytelis anthopeplus
Polytelis alexandrae,Polytelis alexandrae
Platycercus caledonicus,Platycercus caledonicus
Platycercus elegans,Platycercus elegans
Platycercus eximius,Platycercus eximius
Platycercus icterotis,Platycercus icterotis
Purpureicephalus spurius,Purpureicephalus spurius
Northiella haematogaster,Northiella haematogaster
Lathamus discolor,Lathamus discolor
Psephotus varius,Psephotus varius
Psephotus chrysopterygius,Psephotus chrysopterygius
Psephotus dissimilis,Psephotus dissimilis
Cyanoramphus unicolor,Cyanoramphus unicolor
Cyanoramphus novaezelandiae,Cyanoramphus novaezelandiae
Cyanoramphus auriceps,Cyanoramphus auriceps
Melopsittacus undulatus,Melopsittacus undulatus
Neophema bourkii,Neopsephotus bourkii
Neophema petrophila,Neophema petrophila
Neophema chrysogaster,Neophema chrysogaster
Neophema pulchella,Neophema pulchella
Neophema splendida,Neophema splendida
Nestor notabilis,Nestor notabilis
Nestor meridionalis,Nestor meridionalis
Strigops habroptila,Strigops habroptila
Ninox strenua,Ninox strenua
Ninox connivens,Ninox connivens
Ninox novaeseelandiae,Ninox novaeseelandiae
Tyto tenebricosa,Tyto tenebricosa
Tyto capensis,Tyto capensis
Podargus strigoides,Podargus strigoides
Dacelo novaeguineae,Dacelo novaeguineae
Dacelo leachii,Dacelo leachii
Xenicus gilviventris,Xenicus gilviventris
Erythropitta erythrogaster,Pitta erythrogaster
Atrichornis clamosus,Atrichornis clamosus
Cormobates leucophaea,Cormobates leucophaea
Climacteris picumnus,Climacteris picumnus
Climacteris rufus,Climacteris rufus
Malurus pulcherrimus,Malurus pulcherrimus
Malurus elegans,Malurus elegans
Manorina melanocephala,Manorina melanocephala
Lichenostomus melanops,Lichenostomus melanops
Melithreptus gularis,Melithreptus gularis
Melithreptus lunatus,Melithreptus lunatus
Notiomystis cincta,Notiomystis cincta
Phylidonyris novaehollandiae,Phylidonyris novaehollandiae
Anthornis melanura,Anthornis melanura
Prosthemadera novaeseelandiae,Prosthemadera novaeseelandiae
Epthianura albifrons,Epthianura albifrons
Pardalotus striatus,Pardalotus striatus
Sericornis frontalis,Sericornis frontalis
Pyrrholaemus sagittatus,Chthonicola sagittatus
Gerygone igata,Gerygone igata
Gerygone palpebrosa,Gerygone palpebrosa
Acanthiza pusilla,Acanthiza pusilla
Petroica macrocephala,Petroica macrocephala
Petroica goodenovii,Petroica goodenovii
Petroica phoenicea,Petroica phoenicea
Petroica australis,Petroica australis
Petroica traversi,Petroica traversi
Melanodryas cucullata,Melanodryas cucullata
Eopsaltria australis,Eopsaltria australis
Eopsaltria georgiana,Eopsaltria georgiana
Pomatostomus temporalis,Pomatostomus temporalis
Pomatostomus superciliosus,Pomatostomus superciliosus
Mohoua albicilla,Mohoua albicilla
Mohoua novaeseelandiae,Mohoua novaeseelandiae
Pachycephala rufiventris,Pachycephala rufiventris
Colluricincla harmonica,Colluricincla harmonica
Grallina cyanoleuca,Grallina cyanoleuca
Rhipidura fuliginosa,Rhipidura fuliginosa
Coracina maxima,Coracina maxima
Artamus leucorynchus,Artamus leucorynchus
Corvus coronoides,Corvus coronoides
Corvus tasmanicus,Corvus tasmanicus
Corvus mellori,Corvus mellori
Corvus bennetti,Corvus bennetti
Corvus orru,Corvus orru
Philesturnus carunculatus,Philesturnus carunculatus
Neochmia phaeton,Neochmia phaeton
Padda oryzivora,Padda oryzivora
Zosterops lateralis,Zosterops lateralis
Chauna torquata,Chauna torquata
Phaethornis superciliosus,Phaethornis superciliosus
